noc,id_result,edition_country
GEO,318036,59
AZE,318037,59
BLR,318038,59
TUR,318039,59
ARM,318040,59
CZE,318041,59
ETH,318042,59
SLO,318043,59
INA,318044,59
ROU,318045,59
BRN,318046,59
VIE,318047,59
TPE,318048,59
CIV,318049,59
IOA,318050,59
BAH,318051,59
FIJ,318052,59
JOR,318053,59
KOS,318054,59
PUR,318055,59
SGP,318056,59
TJK,318057,59
MAS,318058,59
MEX,318059,59
VEN,318060,59
ALG,318061,59
IRL,318062,59
LTU,318063,59
BUL,318064,59
IND,318065,59
MGL,318066,59
BDI,318067,59
GRN,318068,59
NIG,318069,59
PHI,318070,59
QAT,318071,59
NOR,318072,59
EGY,318073,59
TUN,318074,59
ISR,318075,59
AUT,318076,59
DOM,318077,59
EST,318078,59
FIN,318079,59
MAR,318080,59
NGR,318081,59
POR,318082,59
TTO,318083,59
UAE,318084,59
USA,318085,61
CHN,318086,61
JPN,318087,61
GBR,318088,61
ROC,318089,61
AUS,318090,61
NED,318091,61
FRA,318092,61
GER,318093,61
ITA,318094,61
CAN,318095,61
BRA,318096,61
NZL,318097,61
CUB,318098,61
HUN,318099,61
KOR,318100,61
POL,318101,61
CZE,318102,61
KEN,318103,61
NOR,318104,61
JAM,318105,61
ESP,318106,61
SWE,318107,61
SUI,318108,61
DEN,318109,61
CRO,318110,61
IRI,318111,61
SRB,318112,61
BEL,318113,61
BUL,318114,61
SLO,318115,61
UZB,318116,61
GEO,318117,61
TPE,318118,61
TUR,318119,61
GRE,318120,61
UGA,318121,61
ECU,318122,61
IRL,318123,61
ISR,318124,61
QAT,318125,61
KOS,318126,61
BAH,318127,61
UKR,318128,61
BLR,318129,61
ROU,318130,61
VEN,318131,61
IND,318132,61
HKG,318133,61
PHI,318134,61
SVK,318135,61
RSA,318136,61
AUT,318137,61
EGY,318138,61
INA,318139,61
ETH,318140,61
POR,318141,61
TUN,318142,61
EST,318143,61
FIJ,318144,61
LAT,318145,61
THA,318146,61
BER,318147,61
MAR,318148,61
PUR,318149,61
COL,318150,61
AZE,318151,61
DOM,318152,61
ARM,318153,61
KGZ,318154,61
MGL,318155,61
ARG,318156,61
SMR,318157,61
JOR,318158,61
MAS,318159,61
NGR,318160,61
BRN,318161,61
KSA,318162,61
LTU,318163,61
NAM,318164,61
MKD,318165,61
TKM,318166,61
KAZ,318167,61
MEX,318168,61
FIN,318169,61
BOT,318170,61
BUR,318171,61
CIV,318172,61
GHA,318173,61
GRN,318174,61
KUW,318175,61
MDA,318176,61
SYR,318177,61
NOR,318178,29
FIN,318179,29
AUT,318180,29
SUI,318181,29
USA,318182,29
GBR,318183,29
SWE,318184,29
CAN,318185,29
MIX,318186,29
FRA,318187,29
BEL,318188,29
NOR,318189,30
USA,318190,30
SWE,318191,30
FIN,318192,30
CAN,318193,30
FRA,318194,30
AUT,318195,30
BEL,318196,30
TCH,318197,30
GER,318198,30
GBR,318199,30
SUI,318200,30
USA,318201,31
NOR,318202,31
SWE,318203,31
CAN,318204,31
FIN,318205,31
AUT,318206,31
FRA,318207,31
SUI,318208,31
GER,318209,31
HUN,318210,31
NOR,318211,32
GER,318212,32
SWE,318213,32
FIN,318214,32
SUI,318215,32
AUT,318216,32
GBR,318217,32
USA,318218,32
CAN,318219,32
FRA,318220,32
HUN,318221,32
NOR,318222,33
SWE,318223,33
SUI,318224,33
USA,318225,33
FRA,318226,33
CAN,318227,33
AUT,318228,33
FIN,318229,33
BEL,318230,33
ITA,318231,33
TCH,318232,33
HUN,318233,33
GBR,318234,33
NOR,318235,34
USA,318236,34
FIN,318237,34
GER,318238,34
AUT,318239,34
CAN,318240,34
ITA,318241,34
GBR,318242,34
NED,318243,34
SWE,318244,34
SUI,318245,34
FRA,318246,34
HUN,318247,34
URS,318248,35
AUT,318249,35
FIN,318250,35
SUI,318251,35
SWE,318252,35
USA,318253,35
NOR,318254,35
ITA,318255,35
GER,318256,35
CAN,318257,35
JPN,318258,35
HUN,318259,35
POL,318260,35
URS,318261,36
GER,318262,36
USA,318263,36
NOR,318264,36
SWE,318265,36
FIN,318266,36
CAN,318267,36
SUI,318268,36
AUT,318269,36
FRA,318270,36
NED,318271,36
POL,318272,36
TCH,318273,36
ITA,318274,36
URS,318275,37
AUT,318276,37
NOR,318277,37
FIN,318278,37
FRA,318279,37
GER,318280,37
SWE,318281,37
USA,318282,37
CAN,318283,37
NED,318284,37
GBR,318285,37
